rainfall,soil_moisture,slope,elevation,temperature,humidity,previous_landslide,risk
180,90,45,1200,22,90,1,1
70,50,20,800,28,55,0,0
130,80,38,1100,24,82,1,1
40,30,10,500,30,45,0,0
160,85,42,1150,23,88,1,1
60,40,15,700,29,50,0,0
145,78,35,1000,25,80,1,1
30,25,8,450,32,40,0,0
190,92,48,1300,21,93,1,1
90,60,25,850,27,65,0,0
120,75,32,950,25,78,1,1
50,35,12,600,31,48,0,0
175,88,44,1180,22,89,1,1
80,55,22,750,28,60,0,0
135,82,40,1050,24,84,1,1
35,28,9,480,32,42,0,0
150,79,37,1080,24,81,1,1
65,45,18,720,29,52,0,0
185,91,46,1250,21,92,1,1
75,52,21,780,28,58,0,0
